name,rating,genre,score,director,writer,star,company,year,country
The French Lieutenant's Woman,R,Drama,7.0,Karel Reisz,John Fowles,Meryl Streep,Juniper Films,1981,United States
The Great Muppet Caper,G,Adventure,7.2,Jim Henson,Tom Patchett,Jim Henson,Henson Associates (HA),1981,United States
True Confessions,R,Crime,6.3,Ulu Grosbard,John Gregory Dunne,Robert De Niro,Chartoff-Winkler Productions,1981,United States
Looker,PG,Drama,6.1,Michael Crichton,Michael Crichton,Albert Finney,The Ladd Company,1981,United States
Nighthawks,R,Action,6.4,Bruce Malmuth,David Shaber,Sylvester Stallone,Universal Pictures,1981,United States
Nice Dreams,R,Comedy,6.2,Tommy Chong,Tommy Chong,Cheech Marin,C & C Brown Production,1981,United States
Sharky's Machine,R,Action,6.3,Burt Reynolds,William Diehl,Burt Reynolds,Deliverance Productions,1981,United States
Neighbors,R,Comedy,5.6,John G. Avildsen,Thomas Berger,John Belushi,Columbia Pictures,1981,United States
Puberty Blues,R,Comedy,5.9,Bruce Beresford,Margaret Kelly,Nell Schofield,Limelight Productions (II),1981,Australia
Eye of the Needle,R,Romance,7.1,Richard Marquand,Ken Follett,Donald Sutherland,Kings Road Entertainment,1981,United States
Wolfen,R,Horror,6.3,Michael Wadleigh,Whitley Strieber,Albert Finney,Orion Pictures,1981,United States
Student Bodies,R,Comedy,5.5,Mickey Rose,Mickey Rose,Kristen Riter,Allen Smithee Classic Films,1981,United States
Prince of the City,R,Crime,7.5,Sidney Lumet,Jay Presson Allen,Treat Williams,Orion Pictures,1981,United States
The Hand,R,Drama,5.5,Oliver Stone,Marc Brandel,Michael Caine,Orion Pictures,1981,United States
Continental Divide,PG,Comedy,6.2,Michael Apted,Lawrence Kasdan,John Belushi,Universal Pictures,1981,United States
Diva,R,Music,7.2,Jean-Jacques Beineix,Daniel Odier,Wilhelmenia Fernandez,Les Films Galaxie,1982,United States
Venom,R,Horror,5.8,Piers Haggard,Alan Scholefield,Klaus Kinski,Morison Film Group,1982,United States
Fort Apache the Bronx,R,Crime,6.7,Daniel Petrie,Heywood Gould,Paul Newman,Time Life Films,1981,United States
Eyes of a Stranger,R,Horror,6.0,Ken Wiederhorn,Ron Kurz,Lauren Tewes,Georgetown Productions Inc.,1981,United States
Zorro: The Gay Blade,PG,Action,6.2,Peter Medak,Hal Dresner,George Hamilton,Melvin Simon Productions,1981,United States
Under the Rainbow,PG,Comedy,5.4,Steve Rash,Fred Bauer,Chevy Chase,Innovisions,1981,United States
Carbon Copy,PG,Comedy,5.6,Michael Schultz,Stanley Shapiro,George Segal,DeHaven/Shapiro Productions,1981,United States
The Incredible Shrinking Woman,PG,Comedy,5.5,Joel Schumacher,Richard Matheson,Lily Tomlin,Lija Productions,1981,United States
The Night the Lights Went Out in Georgia,PG,Drama,6.0,Ron Maxwell,Bob Bonney,Kristy McNichol,Viacom Enterprises,1981,United States
Quartet,R,Drama,6.3,James Ivory,Jean Rhys,Isabelle Adjani,Merchant Ivory Productions,1981,United States
Graduation Day,R,Horror,4.9,Herb Freed,Anne Marisse,Christopher George,Baughn/Freed Productions,1981,United States
Modern Problems,PG,Comedy,5.1,Ken Shapiro,Ken Shapiro,Chevy Chase,Twentieth Century Fox,1981,United States
Pennies from Heaven,R,Drama,6.5,Herbert Ross,Dennis Potter,Steve Martin,Metro-Goldwyn-Mayer (MGM),1982,United States
American Pop,R,Animation,7.2,Ralph Bakshi,Ronni Kern,Mews Small,Bakshi Productions,1981,United States
The Legend of the Lone Ranger,PG,Action,5.1,William A. Fraker,Ivan Goff,Klinton Spilsbury,Eaves Movie Ranch,1981,United States
Sphinx,PG,Adventure,5.2,Franklin J. Schaffner,John Byrum,Lesley-Anne Down,Orion Pictures,1981,United States
Night School,R,Horror,5.6,Ken Hughes,Ruth Avergon,Leonard Mann,Lorimar Productions,1981,United States
An Eye for an Eye,R,Action,5.5,Steve Carver,James Bruner,Chuck Norris,Adams Apple Film Company,1981,United States
Zoot Suit,R,Drama,6.8,Luis Valdez,Luis Valdez,Daniel Valdez,Universal Pictures,1982,United States
Rich and Famous,R,Drama,5.9,George Cukor,Gerald Ayres,Jacqueline Bisset,Jaquet,1981,United States
Buddy Buddy,R,Comedy,6.5,Billy Wilder,Francis Veber,Jack Lemmon,Heron Productions,1981,United States
Bustin' Loose,R,Comedy,6.1,Oz Scott,Lonne Elder III,Richard Pryor,Universal Pictures,1981,United States
Modern Romance,R,Comedy,7.0,Albert Brooks,Albert Brooks,Albert Brooks,Columbia Pictures,1981,United States
Heartbeeps,PG,Comedy,4.3,Allan Arkush,John Hill,Andy Kaufman,Universal Pictures,1981,United States
Back Roads,R,Adventure,5.6,Martin Ritt,Gary DeVore,Sally Field,CBS Theatrical Films,1981,United States
Take This Job and Shove It,PG,Comedy,5.0,Gus Trikonis,Barry Schneider,Robert Hays,Cinema Group Ventures,1981,United States
Raggedy Man,R,Drama,6.8,Jack Fisk,William D. Wittliff,Sissy Spacek,Universal Pictures,1981,United States
Whose Life Is It Anyway?,R,Comedy,7.3,John Badham,Brian Clark,Richard Dreyfuss,Metro-Goldwyn-Mayer (MGM),1982,United States
Inchon,PG,Drama,2.7,Terence Young,Robin Moore,Laurence Olivier,One Way Productions,1982,United States
All Night Long,R,Comedy,5.5,Jean-Claude Tramont,W.D. Richter,Gene Hackman,Universal Pictures,1981,United States
The Pursuit of D.B. Cooper,PG,Adventure,5.6,Roger Spottiswoode,J.D. Reed,Robert Duvall,PolyGram Pictures,1981,United States
Rollover,R,Drama,5.4,Alan J. Pakula,Howard Kohn,Jane Fonda,IPC Films,1981,United States
Only When I Laugh,R,Comedy,6.5,Glenn Jordan,Neil Simon,Marsha Mason,Columbia Pictures,1981,United States
Honky Tonk Freeway,PG,Action,5.2,John Schlesinger,Edward Clinton,David Rasche,EMI Films,1981,United States
Paternity,PG,Comedy,4.9,David Steinberg,Charlie Peters,Burt Reynolds,Paramount Pictures,1981,United States
